Time resolution is 1 ps
Time=0, REC=         0, RPM=         0, State=00
Testing forward progression...
Time=25000, REC=         0, RPM=   2500000, State=00
Time=75000, REC=         1, RPM=   2500000, State=10
Time=125000, REC=         2, RPM=   2500000, State=11
Time=145000, REC=         2, RPM=   1250000, State=11
Time=175000, REC=         3, RPM=   1250000, State=01
Time=205000, REC=         3, RPM=    833333, State=01
Testing reverse progression...
Time=225000, REC=         4, RPM=    833333, State=00
Time=265000, REC=         4, RPM=    625000, State=00
Time=275000, REC=         3, RPM=    625000, State=01
Time=325000, REC=         2, RPM=    625000, State=11
Time=335000, REC=         2, RPM=   2500000, State=11
Time=375000, REC=         1, RPM=   2500000, State=10
Time=395000, REC=         1, RPM=   1250000, State=10
Testing negative overflow...
Time=425000, REC=         0, RPM=   1250000, State=00
Time=17645000, REC=4294967292, RPM=      1835, State=00
Time=17695000, REC=4294967292, RPM=      1830, State=00
Time=17745000, REC=4294967292, RPM=      1824, State=00
Time=17795000, REC=4294967292, RPM=      1819, State=00
Time=17845000, REC=4294967292, RPM=      1814, State=00
Time=17895000, REC=4294967292, RPM=      1808, State=00
Time=17945000, REC=4294967292, RPM=      1803, State=00
Time=17995000, REC=4294967292, RPM=      1798, State=00
Time=18045000, REC=4294967292, RPM=      1793, State=00
Time=18095000, REC=4294967292, RPM=      1788, State=00
Time=18145000, REC=4294967292, RPM=      1783, State=00
Time=18195000, REC=4294967292, RPM=      1778, State=00
Time=18245000, REC=4294967292, RPM=      1773, State=00
Time=18295000, REC=4294967292, RPM=      1768, State=00
Time=18345000, REC=4294967292, RPM=      1763, State=00
Time=18395000, REC=4294967292, RPM=      1758, State=00
Time=18445000, REC=4294967292, RPM=      1753, State=00
Time=18495000, REC=4294967292, RPM=      1748, State=00
Time=18545000, REC=4294967292, RPM=      1743, State=00
Time=18595000, REC=4294967292, RPM=      1738, State=00
Time=18645000, REC=4294967292, RPM=      1733, State=00
Time=18695000, REC=4294967292, RPM=      1728, State=00
Time=18745000, REC=4294967292, RPM=      1724, State=00
Time=18795000, REC=4294967292, RPM=      1719, State=00
Time=18845000, REC=4294967292, RPM=      1714, State=00
Time=18895000, REC=4294967292, RPM=      1709, State=00
Time=18945000, REC=4294967292, RPM=      1705, State=00
Time=18995000, REC=4294967292, RPM=      1700, State=00
Time=19045000, REC=4294967292, RPM=      1696, State=00
Time=19095000, REC=4294967292, RPM=      1691, State=00
Time=19145000, REC=4294967292, RPM=      1686, State=00
Time=19195000, REC=4294967292, RPM=      1682, State=00
Time=19245000, REC=4294967292, RPM=      1677, State=00
Time=19295000, REC=4294967292, RPM=      1673, State=00
Time=19345000, REC=4294967292, RPM=      1668, State=00
Time=19395000, REC=4294967292, RPM=      1664, State=00
Time=19445000, REC=4294967292, RPM=      1660, State=00
Time=19495000, REC=4294967292, RPM=      1655, State=00
Time=19545000, REC=4294967292, RPM=      1651, State=00
Time=19595000, REC=4294967292, RPM=      1646, State=00
Time=19645000, REC=4294967292, RPM=      1642, State=00
Time=19695000, REC=4294967292, RPM=      1638, State=00
Time=19745000, REC=4294967292, RPM=      1633, State=00
Time=19795000, REC=4294967292, RPM=      1629, State=00
Time=19845000, REC=4294967292, RPM=      1625, State=00
Time=19895000, REC=4294967292, RPM=      1621, State=00
Time=19945000, REC=4294967292, RPM=      1617, State=00
Time=19995000, REC=4294967292, RPM=      1612, State=00
Time=20045000, REC=4294967292, RPM=      1608, State=00
Time=20095000, REC=4294967292, RPM=      1604, State=00
Time=20145000, REC=4294967292, RPM=      1600, State=00
Time=20195000, REC=4294967292, RPM=      1596, State=00
Time=20245000, REC=4294967292, RPM=      1592, State=00
Time=20295000, REC=4294967292, RPM=      1588, State=00
Time=20345000, REC=4294967292, RPM=      1584, State=00
Time=20395000, REC=4294967292, RPM=      1580, State=00
Time=20445000, REC=4294967292, RPM=      1576, State=00
Time=20495000, REC=4294967292, RPM=      1572, State=00
Time=20545000, REC=4294967292, RPM=      1568, State=00
Time=20595000, REC=4294967292, RPM=      1564, State=00
Time=20645000, REC=4294967292, RPM=      1560, State=00
Time=20695000, REC=4294967292, RPM=      1556, State=00
